# Aeroporti: da codice a nome leggibile.
#
#   codice[/codice],forma breve,nome completo
#
# Nella prima colonna puoi mettere piu' codici separati da `/`: qui trovi il
# codice IATA di tre lettere (MXP) e quello ICAO di quattro (LIMC) sulla
# stessa riga, perche' il servizio delle rotte a volte risponde con l'uno e a
# volte con l'altro. Basta che uno dei due corrisponda.
#
# La forma breve va sul pannello, il nome completo nella web UI e nel
# registro dei passaggi.
FCO/LIRF,Fiumicino,Roma Fiumicino
CIA/LIRA,Ciampino,Roma Ciampino
MXP/LIMC,Malpensa,Milano Malpensa
LIN/LIML,Linate,Milano Linate
BGY/LIME,Orio al Serio,Bergamo Orio al Serio
VCE/LIPZ,Venezia,Venezia Marco Polo
TSF/LIPH,Treviso,Treviso Canova
VRN/LIPX,Verona,Verona Villafranca
BLQ/LIPE,Bologna,Bologna Marconi
FLR/LIRQ,Firenze,Firenze Peretola
PSA/LIRP,Pisa,Pisa Galilei
TRN/LIMF,Torino,Torino Caselle
GOA/LIMJ,Genova,Genova Colombo
NAP/LIRN,Napoli,Napoli Capodichino
BRI/LIBD,Bari,Bari Palese
BDS/LIBR,Brindisi,Brindisi Salento
CTA/LICC,Catania,Catania Fontanarossa
PMO/LICJ,Palermo,Palermo Punta Raisi
CAG/LIEE,Cagliari,Cagliari Elmas
OLB/LIEO,Olbia,Olbia Costa Smeralda
AHO/LIEA,Alghero,Alghero Fertilia
TPS/LICT,Trapani,Trapani Birgi
SUF/LICA,Lamezia,Lamezia Terme
REG/LICR,Reggio Cal.,Reggio Calabria
PSR/LIBP,Pescara,Pescara Abruzzo
AOI/LIPY,Ancona,Ancona Falconara
TRS/LIPQ,Trieste,Trieste Ronchi dei Legionari
PMF/LIMP,Parma,Parma
RMI/LIPR,Rimini,Rimini Federico Fellini
CUF/LIMZ,Cuneo,Cuneo Levaldigi
PEG/LIRZ,Perugia,Perugia San Francesco
FOG/LIBF,Foggia,Foggia Gino Lisa
QSR/LIRI,Salerno,Salerno Costa d'Amalfi
BZO/LIPB,Bolzano,Bolzano
CRV/LIBC,Crotone,Crotone
TAR/LIBG,Grottaglie,Taranto Grottaglie
PNL/LICG,Pantelleria,Pantelleria
LMP/LICD,Lampedusa,Lampedusa
EBA/LIRJ,Elba,Marina di Campo
CIY/LICB,Comiso,Comiso
# --- Regno Unito e Irlanda ---
LHR/EGLL,Heathrow,Londra Heathrow
LGW/EGKK,Gatwick,Londra Gatwick
LTN/EGGW,Luton,Londra Luton
STN/EGSS,Stansted,Londra Stansted
LCY/EGLC,London City,Londra City
SEN/EGMC,Southend,Londra Southend
MAN/EGCC,Manchester,Manchester
BHX/EGBB,Birmingham,Birmingham
EDI/EGPH,Edimburgo,Edimburgo
GLA/EGPF,Glasgow,Glasgow
BRS/EGGD,Bristol,Bristol
LPL/EGGP,Liverpool,Liverpool
NCL/EGNT,Newcastle,Newcastle
LBA/EGNM,Leeds,Leeds Bradford
DUB/EIDW,Dublino,Dublino
ORK/EICK,Cork,Cork
SNN/EINN,Shannon,Shannon
# --- Francia ---
CDG/LFPG,Charles de Gaulle,Parigi Charles de Gaulle
ORY/LFPO,Orly,Parigi Orly
BVA/LFOB,Beauvais,Parigi Beauvais
NCE/LFMN,Nizza,Nizza Costa Azzurra
MRS/LFML,Marsiglia,Marsiglia Provenza
LYS/LFLL,Lione,Lione Saint-Exupery
TLS/LFBO,Tolosa,Tolosa Blagnac
BOD/LFBD,Bordeaux,Bordeaux Merignac
NTE/LFRS,Nantes,Nantes Atlantique
MPL/LFMT,Montpellier,Montpellier
AJA/LFKJ,Ajaccio,Ajaccio
BIA/LFKB,Bastia,Bastia
FSC/LFKF,Figari,Figari Sud Corse
# --- Benelux, Germania, Austria, Svizzera ---
AMS/EHAM,Schiphol,Amsterdam Schiphol
EIN/EHEH,Eindhoven,Eindhoven
RTM/EHRD,Rotterdam,Rotterdam L'Aia
BRU/EBBR,Bruxelles,Bruxelles Zaventem
CRL/EBCI,Charleroi,Bruxelles Charleroi
LUX/ELLX,Lussemburgo,Lussemburgo
FRA/EDDF,Francoforte,Francoforte sul Meno
MUC/EDDM,Monaco,Monaco di Baviera
BER/EDDB,Berlino,Berlino Brandeburgo
DUS/EDDL,Dusseldorf,Dusseldorf
HAM/EDDH,Amburgo,Amburgo
STR/EDDS,Stoccarda,Stoccarda
CGN/EDDK,Colonia,Colonia Bonn
HAJ/EDDV,Hannover,Hannover
NUE/EDDN,Norimberga,Norimberga
LEJ/EDDP,Lipsia,Lipsia Halle
BRE/EDDW,Brema,Brema
FMM/EDJA,Memmingen,Memmingen
DTM/EDLW,Dortmund,Dortmund
FDH/EDNY,Friedrichshafen,Friedrichshafen
VIE/LOWW,Vienna,Vienna Schwechat
SZG/LOWS,Salisburgo,Salisburgo
INN/LOWI,Innsbruck,Innsbruck
GRZ/LOWG,Graz,Graz
ZRH/LSZH,Zurigo,Zurigo
GVA/LSGG,Ginevra,Ginevra
BSL/LFSB,Basilea,Basilea Mulhouse
LUG/LSZA,Lugano,Lugano
BRN/LSZB,Berna,Berna
# --- Spagna e Portogallo ---
MAD/LEMD,Madrid,Madrid Barajas
BCN/LEBL,Barcellona,Barcellona El Prat
AGP/LEMG,Malaga,Malaga
PMI/LEPA,Palma,Palma di Maiorca
IBZ/LEIB,Ibiza,Ibiza
MAH/LEMH,Minorca,Minorca
VLC/LEVC,Valencia,Valencia
SVQ/LEZL,Siviglia,Siviglia
BIO/LEBB,Bilbao,Bilbao
ALC/LEAL,Alicante,Alicante Elche
SCQ/LEST,Santiago,Santiago de Compostela
LPA/GCLP,Gran Canaria,Las Palmas Gran Canaria
TFS/GCTS,Tenerife Sud,Tenerife Sud
TFN/GCXO,Tenerife Nord,Tenerife Nord
ACE/GCRR,Lanzarote,Lanzarote
FUE/GCFV,Fuerteventura,Fuerteventura
LIS/LPPT,Lisbona,Lisbona
OPO/LPPR,Porto,Porto
FAO/LPFR,Faro,Faro
FNC/LPMA,Madeira,Funchal Madeira
PDL/LPPD,Ponta Delgada,Ponta Delgada Azzorre
# --- Scandinavia e Baltico ---
CPH/EKCH,Copenaghen,Copenaghen Kastrup
BLL/EKBI,Billund,Billund
ARN/ESSA,Arlanda,Stoccolma Arlanda
NYO/ESKN,Skavsta,Stoccolma Skavsta
GOT/ESGG,Goteborg,Goteborg Landvetter
OSL/ENGM,Oslo,Oslo Gardermoen
