# Catalogo dei tipi di aeromobile: da designatore ICAO al modello.
#
#   codice[/codice],forma breve,nome completo
#
# Questo file NON e' tuo: viene rifatto a ogni aggiornamento
# e le modifiche andrebbero perse. Le tue correzioni vanno in
# aerei.csv, che vince sempre su questo.
#
# Fonte: ICAO Doc 8643, copia rikgale/ICAOList.
# 2767 voci.
A002,A-002,Irkut A-002
A1,A-1 Skyraider,Douglas A-1 Skyraider
A10,A-10 Thunderbolt 2,Fairchild A-10 Thunderbolt 2
A109,AW-109 Grand,AgustaWestland AW-109 Grand
A119,AW-119 Koala,AgustaWestland AW-119 Koala
A122,A-122 Uirapuru,Aerotec A-122 Uirapuru
A124,An-124 Ruslan,Antonov An-124 Ruslan
A129,AW-129,AgustaWestland AW-129
A139,AW-139,AgustaWestland AW-139
A140,An-140,Antonov An-140
A148,An-148,Antonov An-148
A149,AW-149,AgustaWestland AW-149
A158,An-158,Antonov An-158
A16,A-16 Sport Falcon,Aviadesign A-16 Sport Falcon
A169,AW-169,AgustaWestland AW-169
A178,An-178,Antonov An-178
A189,AW-189,AgustaWestland AW-189
A19,Aeropract A-19,Aeropract A-19
A19N,A-319NEO,Airbus A-319NEO
A20,A-20 Havoc,Douglas A-20 Havoc
A205,MAI-205,Oskbes-Mai MAI-205
A20J,ASW-20J,Schleicher ASW-20J
A20N,A-320NEO,Airbus A-320NEO
A21,A-21 Solo,Aeropract A-21 Solo
A210,A-210,Aquila A-210
A21N,A-321NEO,Airbus A-321NEO
A22,A-22 Piranha,Sadler A-22 Piranha
A223,MAI-223 Kityonok,Oskbes-Mai MAI-223 Kityonok
A225,An-225 Mriya,Antonov An-225 Mriya
A23,A-23 Dragon,Aeropract A-23 Dragon
A249,AW-249 Fenice,Leonardo AW-249 Fenice
A25,A-25 Breeze,Aeropract A-25 Breeze
A251,Aleks-251,Aviatik-Alyans Aleks-251
A27,Aeropract A-27,Aeropract A-27
A270,Ae-270 Propjet,Aero Ae-270 Propjet
A29,Avantage A-29,Avantage A-29
A2RT,Ansat 2RT,Kazan Ansat 2RT
A3,A-3 Skywarrior,Douglas A-3 Skywarrior
A306,A-300B4-600,Airbus A-300B4-600
A30B,A-300B4-200,Airbus A-300B4-200
A31,A-31 Spectrum,Avantage A-31 Spectrum
A310,A-310,Airbus A-310
A318,A-318,Airbus A-318
A319,A-319,Airbus A-319
A320,A-320,Airbus A-320
A321,A-321,Airbus A-321
A32E,ASG-32EL,Schleicher ASG-32EL
A32P,ASG-32Mi,Schleicher ASG-32Mi
A33,Aeropract A-33,Aeropract A-33
A332,A-330-200,Airbus A-330-200
A333,A-330-300,Airbus A-330-300
A337,A-330-700 Beluga XL,Airbus A-330-700 Beluga XL
A338,A-330-800,Airbus A-330-800
A339,A-330-900,Airbus A-330-900
A33E,AS-33Me,Schleicher AS-33Me
A33P,AS-33Es,Schleicher AS-33Es
A342,A-340-200,Airbus A-340-200
A343,A-340-300,Airbus A-340-300
A345,A-340-500,Airbus A-340-500
A346,A-340-600,Airbus A-340-600
A34E,AS-34Me,Schleicher AS-34Me
A35,A-35 Scanner,Avantage A-35 Scanner
A359,A-350-900 XWB,Airbus A-350-900 XWB
A35K,A-350-1000 XWB,Airbus A-350-1000 XWB
A37,A-37 Dragonfly,Cessna A-37 Dragonfly
A388,A-380-800,Airbus A-380-800
A3ST,A-300ST Beluga,Airbus A-300ST Beluga
A4,A-4 Skyhawk,McDonnell Douglas A-4 Skyhawk
A400,A-400M Atlas,Airbus A-400M Atlas
A411,MAI-411,Oskbes-Mai MAI-411
A5,Icon A-5,Icon A-5
A50,Beriev A-50,Beriev A-50
A500,A-500 CarbonAero,Adam A-500 CarbonAero
A504,504 Replica,Avro 504 Replica
A6,A-6 Intruder,Grumman A-6 Intruder
A600,A-600 Talon,Rotorway A-600 Talon
A660,S-2R-T660 Turbo,Ayres S-2R-T660 Turbo Thrush
A700,A-700 AdamJet,Adam A-700 AdamJet
A743,An-74-300,Antonov An-74-300
A748,HS-748 Andover,Hawker Siddeley HS-748 Andover
A890,MAI-890,Oskbes-Mai MAI-890
A9,A-9 Quail,AAMSA A-9 Quail
A900,MAI-900 Acrobat,Oskbes-Mai MAI-900 Acrobat
A910,MAI-910 Interfly,Oskbes-Mai MAI-910 Interfly
AA1,AA-1 Lynx,Grumman American AA-1 Lynx
AA37,Aeropract A-37,Aeropract A-37
AA5,AA-5 Traveler,Grumman American AA-5 Traveler
AAT3,Aero AT-3,Aero AT-3
AAT4,Aero AT-4,Aero AT-4
AB11,AB-115,Aero Boero AB-115
AB15,AB-150,Aero Boero AB-150
AB18,AB-180,Aero Boero AB-180
AB95,AB-95,Aero Boero AB-95
AC10,ArrowCopter,Fd-Composites ArrowCopter
AC11,Commander 112,North American Rockwell Commander 112
AC31,AC-311,Avicopter AC-311
AC33,AC-313,Avicopter AC-313
AC4,Light Wing AC-4,Light Wing AC-4
AC50,Commander 500,Aero (1) Commander 500
AC52,Commander 520,Aero (1) Commander 520
AC56,Commander 560,Aero (1) Commander 560
AC5A,AC-500 Aircar,Nanjing AC-500 Aircar
AC5M,AC-5M,Aviastroitel AC-5M
AC68,Commander 680 Super,Aero (1) Commander 680 Super
AC6L,Commander 685,North American Rockwell Commander 685
AC72,Commander 720 Alti,Aero (1) Commander 720 Alti Cruiser
AC80,680T Turbo Commande,Aero Commander 680T Turbo Commander
AC90,Turbo Commander 690,North American Rockwell Turbo Commander 690
AC95,Jetprop Commander,Rockwell Jetprop Commander 1000
ACAM,Air Cam,Lockwood Air Cam
ACAR,J-5 Autocar,Auster J-5 Autocar
ACED,P-70 Acey Deucy,Powell P-70 Acey Deucy
ACJR,Air Car Junior,Spencer Air Car Junior
ACPL,Acapella,Option Air Acapella
ACR2,Acro-Sport 2,Acro Sport Acro-Sport 2
ACRD,Accord,Avia (3) Accord
ACRO,Acro-Sport 1,Acro Sport Acro-Sport 1
ACSR,Aircruiser,Victa Aircruiser
AD20,AD-200,Beijing Keyuan AD-200
ADEL,Ustinov Adel,Ustinov Adel
ADVE,J-5 Adventurer,Auster J-5 Adventurer
ADVN,Adventurer,Adventure Air Adventurer
AE45,Aero 45,LET Aero 45
AEA1,American Eagle A-1,American Eagle A-1
AERK,K Scout,Aeronca K Scout
AEST,Aerostar (1) 600,Aerostar (1) 600
AFOX,Apollo Fox,Halley Apollo Fox
AG02,AG-02 Poussin,Gatard AG-02 Poussin
AG1,Apollo AG-1 Gyro,Halley Apollo AG-1 Gyro
AG10,AG-100,Caiga AG-100
AG60,AG-600 Kunlong,Caiga AG-600 Kunlong
AGSH,Sea Hawker,Aero Gare Sea Hawker
AI10,Ai-10 Ikar,Ikar Ai-10 Ikar
AIGT,J-5F Aiglet Trainer,Auster J-5F Aiglet Trainer
AIRD,A-109 Airedale,Beagle-Auster A-109 Airedale
AIRL,Airelle,Aeronix Airelle
AJ27,ARJ-21-700,Comac ARJ-21-700
AJET,Alpha Jet,Dassault-Dornier Alpha Jet
AK1,Akaflieg Karlsruhe,Akaflieg Karlsruhe AK-1
AKOY,Akoya,Lisa Akoya
AKRO,Stephens Akro,Stephens Akro
ALBU,Alaskan Bushmaster,Aviation Development Alaskan Bushmaster
ALC1,AC-11,Altair Coelho AC-11
ALGR,Allegro,Fantasy Air Allegro
ALH,ALH Dhruv,Hindustan ALH Dhruv
ALIG,LS-1 Lightning,Arion LS-1 Lightning
ALIZ,1050 Alizé,Breguet 1050 Alizé
ALO2,Alouette 2,Aerospatiale Alouette 2
ALO3,Alouette 3,Aerospatiale Alouette 3
ALPI,J-5R Alpine,Auster J-5R Alpine
ALSL,Skylane,Airlony Skylane
ALTO,Direct Fly Alto,Direct Fly Alto
AM3,Aeritalia-Aermacchi,Aeritalia-Aermacchi AM-3
AMX,AMX AMX,AMX AMX
AN12,An-12,Antonov An-12
AN2,Antonov An-2,Antonov An-2
AN22,An-22 Antheus,Antonov An-22 Antheus
AN24,An-24,Antonov An-24
AN26,An-26,Antonov An-26
AN28,An-28,Antonov An-28
AN3,Antonov An-3,Antonov An-3
AN30,An-30,Antonov An-30
