# Catalogo degli aeroporti: da codice IATA/ICAO a nome leggibile.
#
#   codice[/codice],forma breve,nome completo
#
# Questo file NON e' tuo: viene rifatto a ogni aggiornamento
# e le modifiche andrebbero perse. Le tue correzioni vanno in
# aeroporti.csv, che vince sempre su questo.
#
# Fonte: OurAirports (pubblico dominio). Scali, non eliporti.
# 18361 voci.
AAA/NTGA,Anaa,Anaa Airport
AAB/YARY,Tanbar,Tanbar Arrabury Airport
AAC/HEAR,El Arish,El Arish International Airport
AAD/HCAD,Adado,Adado Airport
AAE/DABB,Annaba,Annaba Rabah Bitat Airport
AAF/KAAF,Apalachicola,Apalachicola Regional Airport
AAH/EDKA,Aachen,Aachen-Merzbrück Airport
AAI,Arraias,Arraias Airport
AAJ/SMCA,Awaradam,Awaradam Cayana Airstrip
AAK/NGUK,Buariki,Buariki Aranuka Airport
AAL/EKYT,Aalborg,Aalborg Airport
AAM/FAMD,Malamala,Malamala Airport
AAN/OMAL,Al Ain,Al Ain International Airport
AAO/SVAN,Anaco,Anaco Airport
AAP/WALS,Samarinda,Samarinda Aji Pangeran Tumenggung Pranoto International Airport
AAQ/URKA,Krasnyi Kurgan,Krasnyi Kurgan Anapa Vityazevo Airport
AAR/EKAH,Aarhus,Aarhus Airport
AAS,Apalapsili,Apalapsili Airport
AAT/ZWAT,Altay,Altay Xuedu Airport
AAU/NSAU,Asau,Asau Airport
AAV/RPMA,Surallah,Surallah Allah Valley Airport
AAX/SBAX,Araxá,Araxá Romeu Zema Airport
AAXX,Rothera Point,Aeródromo de Punto Rothera
AAY/OYGD,Al Ghaydah,Al Ghaydah International Airport
AAZ/MGQZ,Quezaltenango,Quezaltenango Airport
ABA/UNAA,Abakan,Abakan International Airport
ABB/DNAS,Asaba,Asaba International Airport
ABC/LEAB,Albacete,Albacete Airport / Los Llanos Air Base
ABD/OIAA,Abadan,Abadan Ayatollah Jami International Airport
ABE/KABE,Allentown/Bethlehem,Allentown/Bethlehem Lehigh Valley International Airport
ABF/NGAB,Abaiang,Abaiang Airport
ABG/YABI,Abingdon Downs,Abingdon Downs Airport
ABH/YAPH,Alpha,Alpha Airport
ABI/KABI,Abilene,Abilene Regional Airport
ABJ/DIAP,Abidjan,Abidjan Félix-Houphouët-Boigny International Airport
ABK/HAKD,Kebri Dahar,Kebri Dahar Airport
ABL/PAFM,Ambler,Ambler Airport
ABM/YNPE,Bamaga,Bamaga Northern Peninsula Airport
ABN/SMBN,Albina,Albina Airport
ABO/DIAO,Aboisso,Aboisso Airport
ABP,Atkamba Mission,Atkamba Airport
ABQ/KABQ,Albuquerque,Albuquerque International Sunport
ABR/KABR,Aberdeen,Aberdeen Regional Airport
ABS/HEBL,Abu Simbel,Abu Simbel Airport
ABT/OEBA,Al-Baha,King Saud Bin Abdulaziz (Al Baha) Airport
ABU/WATA,Atambua,Atambua AA Bere Tallo (Haliwen) Airport
ABV/DNAA,Abuja,Abuja Nnamdi Azikiwe International Airport
ABX/YMAY,East Albury,Albury Airport
ABY/KABY,Albany,Albany Southwest Georgia Regional Airport
ABZ/EGPD,Aberdeen,Aberdeen International Airport
ACA/MMAA,Acapulco,Acapulco General Juan N. Álvarez International Airport
ACB/KACB,Bellaire,Bellaire Antrim County Airport
ACC/DGAA,Accra,Accra Kotoka International Airport
ACD/SKAD,Acandí,Acandí Alcides Fernández Airport
ACE/GCRR,San Bartolomé,San Bartolomé César Manrique-Lanzarote Airport
ACF/ZWAL,Aral,Aral Tarim Airport
ACH/LSZR,St. Gallen,Sankt Gallen Altenrhein Airport
ACI/EGJA,Saint Anne,Saint Anne Alderney Airport
ACJ/VCCA,Anuradhapura,Anuradhapura Airport
ACK/KACK,Nantucket,Nantucket Memorial Airport
ACM,Arica,Arica Airport
ACN/MMCC,Ciudad Acuña,Ciudad Acuña International Airport
ACO,Cóbano,Cóbano Airport
ACP/OITM,Maragheh,Maragheh Sahand Airport
ACR/SKAC,Araracuara,Araracuara Airport
ACS/UNKS,Achinsk,Achinsk Airport
ACT/KACT,Waco,Waco Regional Airport
ACU,Mamitupu,Mamitupu Achutupu Airport
ACV/KACV,Arcata/Eureka,Arcata/Eureka California Redwood Coast-Humboldt County Airport
ACX/ZUYI,Xingyi,Xingyi Wanfenglin Airport
ACY/KACY,Atlantic City,Atlantic City International Airport
ACZ/OIZB,Zabol,Zabol Airport
ADA/LTAF,Seyhan,Seyhan Adana Şakirpaşa Airport
ADB/LTBJ,Gaziemir,Gaziemir Adnan Menderes International Airport
ADC/AYAN,Andekombe,Andekombe Andakombe Airport
ADD/HAAB,Addis Ababa,Addis Ababa Bole International Airport
ADE/OYAA,Aden,Aden International Airport
ADF/LTCP,Adıyaman,Adıyaman Airport
ADG/KADG,Adrian,Adrian Lenawee County Airport
ADH/UEEA,Aldan,Aldan Airport
ADI/FYAR,Arandis,Arandis Airport
ADJ/OJAM,Amman,Marka International (Amman Civil) Airport
ADK/PADK,Adak,Adak Airport
ADL/YPAD,Adelaide,Adelaide International Airport
ADM/KADM,Ardmore,Ardmore Municipal Airport
ADO/YAMK,Andamooka,Andamooka Airport
ADP/VCCG,Ampara,Ampara Airport
ADQ/PADQ,Kodiak,Kodiak Airport
ADR/KPHH,Andrews,Andrews Robert F Swinnie Airport
ADS/KADS,Dallas,Dallas Addison Airport
ADT/KADH,Ada,Ada Regional Airport
ADU/OITL,Ardabil,Ardabil Airport
ADV,El Daein,El Daein Airport
ADW/KADW,Camp Springs,Camp Springs Joint Base Andrews
ADX/EGQL,"Leuchars, Fife",Leuchars Station Airfield
ADY/FAAL,Alldays,Alldays Airport
ADZ/SKSP,San Andrés,San Andrés Gustavo Rojas Pinilla International Airport
AEA/NGTB,Abemama,Abemama Airport
AEB/ZGBS,Baise (Tianyang),Baise (Bose) Bama Airport
AEE,Adar,Adar Adareil Airport
AEG/WIME,Padang Sidempuan,Padang Sidempuan Aek Godang Airport
AEH/FTTC,Abeche,Abeche Airport
AEK/AYAX,Aseki,Aseki Airport
AEL/KAEL,Albert Lea,Albert Lea Municipal Airport
AEM/UHTG,Amgu,Amgu Airport
AEO/GQNA,Aioun El Atrouss,Aioun el Atrouss Airport
AEP/SABE,Buenos Aires,Buenos Aires Aeroparque Jorge Newbery
AEQ,Chifeng,Chifeng Ar Horqin Airport
AER/URSS,Sochi,Sochi International Airport
AES/ENAL,Ålesund,Ålesund Airport
AET/PFAL,Allakaket,Allakaket Airport
AEU/OIBA,Abu Musa,Abu Musa Island Airport
AEX/KAEX,Alexandria,Alexandria International Airport
AEY/BIAR,Akureyri,Akureyri International Airport
AFA/SAMR,San Rafael,San Rafael Suboficial Ay Santiago Germano Airport
AFD/FAPA,Port Alfred,Port Alfred Airport
AFF/KAFF,Colorado Springs,Colorado Springs USAF Academy Airfield
AFI/SKAM,Amalfi,Amalfi Airport
AFL/SBAT,Alta Floresta,Alta Floresta Piloto Osvaldo Marques Dias Airport
AFN/KAFN,Jaffrey,Jaffrey Airfield Silver Ranch Airport
AFO/KAFO,Afton,Afton Municipal Airport
AFR/AYAF,Afore,Afore Airstrip
AFS/UZSN,Zarafshan,Zarafshan Sugraly Airport
AFT/AGAF,Bila,Bila Afutara Aerodrome
AFW/KAFW,Fort Worth,Perot Field/Fort Worth Alliance Airport
AFY/LTAH,Afyonkarahisar,Afyonkarahisar Afyon Air Base
AFZ/OIMS,Sabzevar,Sabzevar National Airport
AGA/GMAD,Agadir (Temsia),Agadir (Temsia) Al Massira Airport
AGB/EDMA,Augsburg,Augsburg Airport
AGC/KAGC,Pittsburgh,Pittsburgh Allegheny County Airport
AGD,Anggi-Papua Island,Anggi Airport
AGE/EDWG,Wangerooge,Wangerooge Airport
AGF/LFBA,Agen,Agen La Garenne airport
AGG,Angoram,Angoram Airport
AGH/ESTA,Ängelholm,Ängelholm-Helsingborg Airport
AGI/SMWA,Wageningen,Wageningen Airstrip
AGJ/RORA,Aguni,Aguni Airport
AGK,Kagua,Kagua Airport
AGL/AYWG,Wanigela,Wanigela Airport
AGO/KAGO,Magnolia,Magnolia Municipal Airport / Ralph C Weiser Field
AGP/LEMG,Málaga,Málaga-Costa del Sol Airport
AGR/VIAG,Agra,Agra Airport / Agra Air Force Station
AGS/KAGS,Augusta,Augusta Regional At Bush Field
AGT/SGES,Ciudad del Este,Ciudad del Este Guaraní International Airport
AGU/MMAS,Aguascalientes,Aguascalientes International Airport
AGV/SVAC,Acarigua,Acarigua Oswaldo Guevara Mujica Airport
AGW,Agnew,Agnew Airport
AGX/VOAT,Agatti,Agatti Airport
AGZ/FAAG,Aggeneys,Aggeneys Airport
AHA/VEAP,Ambikapur,Ambikapur Maa Mahamaya Airport
AHB/OEAB,Abha,Abha International Airport
AHC/KAHC,Herlong,Herlong Amedee Army Air Field
AHD,Ardmore,Ardmore Downtown Executive Airport
AHE/NTHE,Ahe Atoll,Ahe Airport
AHF,Arapahoe,Arapahoe Municipal Airport
AHG,Vingt Cinq,Vingt Cinq Agalega Island Airstrip
AHH/KAHH,Amery,Amery Municipal Airport
AHI/WAPA,Amahai,Amahai Airport
AHJ/ZUHY,Ngawa (Hongyuan),Hongyuan Airport
AHL/SYAH,Aishalton,Aishalton Airport
AHM,Ashland,Ashland Municipal Airport Sumner Parker Field
AHN/KAHN,Athens,Athens Ben Epps Airport
AHO/LIEA,Alghero,Alghero-Fertilia Airport
AHS/MHAH,Ahuas,Ahuas Airport
AHU/GMTA,Al Hoceima,Cherif Al Idrissi Airport
AHY,Ambatolahy,Ambatolahy Ambatolhy Airport
AHZ/LFHU,"Huez, Isère",L'Alpe d'Huez - Henri Giraud Altiport
AIA/KAIA,Alliance,Alliance Municipal Airport
AIC,Bigatyelang Island,Bigatyelang Island Ailinglaplap Airok Airport
AID/KAID,Anderson,Anderson Municipal Darlington Field
AIE/AYAO,Aiome,Aiome Airport
AIF/SNAX,Assis,Assis Marcelo Pires Halzhausen Airport
AIG/FEFY,Yalinga,Yalinga Airport
AIH/AYAK,Aiambak,Aiambak Airport
AII/HDAS,Ali-Sabieh,Ali-Sabieh Airport
AIK/KAIK,Aiken,Aiken Regional Airport
AIL,Isla Lorenzo Bello,Isla Lorenzo Bello Ailigandí Airport
AIM,Ailuk Island,Ailuk Airport
AIN/PAWI,Wainwright,Wainwright Airport
AIO/KAIO,Atlantic,Atlantic Municipal Airport
AIP/VIAX,Adampur,Adampur Airport
AIR/SSOU,Aripuanã,Aripuanã Airport
AIS/NGTR,Arorae Island,Arorae Island Airport
AIT/NCAI,Aitutaki,Aitutaki Airport
AIU/NCAT,Atiu Island,Atiu Island Enua Airport
AIV/KAIV,Aliceville,Aliceville George Downer Airport
AIW/FYAA,Ai-Ais,Ai-Ais Airport
AIY/SNUI,Araçuaí,Araçuaí Airport
AIZ/KAIZ,Kaiser Lake Ozark,Kaiser Lake Ozark Lee C Fine Memorial Airport
AJA/LFKJ,Ajaccio,Ajaccio Napoléon Bonaparte airport
AJF/OESK,Al-Jawf,Al-Jawf International Airport
AJI/LTCO,Ağrı,Ağrı Airport
AJJ/GQNJ,Akjoujt,Akjoujt Airport
AJK/OIHR,Araak,Araak Arak Airport
AJL/VELP,Aizawl (Lengpui),Lengpui Airport
AJN/FMCV,Ouani,Ouani Airport
AJR/ESNX,Arvidsjaur,Arvidsjaur Airport
AJS,Mulegé,Mulegé Punta Abreojos Airport
AJU/SBAR,Aracaju,Aracaju - Santa Maria Airport
AJY/DRZA,Agadez,Agadez Mano Dayak International Airport
AKA/ZLAK,Ankang (Hanbin),Ankang Fuqiang Airport
AKB/PAAK,Atka,Atka Airport
AKC/KAKR,Akron,Akron Fulton International Airport
AKD/VAAK,Akola,Akola Airport
AKE/FOGA,Akieni,Akieni Airport
AKF/HLKF,Kufra,Kufra Airport
AKG/AYGU,Anguganak,Anguganak Airport
AKH/OEPS,Al Kharj,Al Kharj Prince Sultan Air Base
AKI/PFAK,Akiak,Akiak Airport
AKJ/RJEC,Higashikagura,Higashikagura Asahikawa Airport
AKK/PAKH,Akhiok,Akhiok Airport
AKL/NZAA,Auckland,Auckland International Airport
AKM,ZaKouma,ZaKouma Zakuoma Airport
AKN/PAKN,King Salmon,King Salmon Airport
AKO/KAKO,Akron,Akron Colorado Plains Regional Airport
AKP/PAKP,Anaktuvuk Pass,Anaktuvuk Pass Airport
AKQ,Menggala,Menggala Astra Ksetra Airport
AKR/DNAK,Akure,Akure Airport
AKS/AGGA,Auki,Auki Gwaunaru'u Airport
AKT/LCRA,Akrotiri,RAF Akrotiri
AKU/ZWAK,Aksu (Onsu),Aksu Hongqipo Airport
AKV/CYKO,Akulivik,Akulivik Airport
AKW/OIAG,Omidiyeh,Omidiyeh Aghajari Airport
AKX/UATT,Aktobe,Aktobe International Airport
AKY/VYSW,Sittwe,Sittwe Airport
ALA/UAAA,Almaty,Almaty International Airport
ALB/KALB,Albany,Albany International Airport
ALC/LEAL,Alicante,Alicante-Elche Miguel Hernández Airport
ALD/SPAR,Fortaleza,Fortaleza Alerta Airport
ALE,Alpine,Alpine Casparis Municipal Airport
ALF/ENAT,Alta,Alta Airport
ALG/DAAG,Algiers,Algiers Houari Boumediene Airport
ALH/YABA,Albany,Albany Airport
ALI/KALI,Alice,Alice International Airport
ALJ/FAAB,Alexander Bay,Alexander Bay Airport
ALM/KALM,Alamogordo,Alamogordo White Sands Regional Airport
ALN/KALN,Alton/St Louis,St Louis Regional Airport
ALO/KALO,Waterloo,Waterloo Regional Airport
ALP/OSAP,Aleppo,Aleppo International Airport
ALQ/SSLT,Alegrete,Alegrete Novo Airport
ALR/NZLX,Alexandra,Alexandra Aerodrome
ALS/KALS,Alamosa,Alamosa San Luis Valley Regional Airport/Bergman Field
ALT,Alenquer,Alenquer Municipal Airport
ALU/HCMA,Alula,Alula Airport
ALW/KALW,Walla Walla,Walla Walla Regional Airport
ALX/KALX,Alexander City,Alexander City Thomas C Russell Field
AMA/KAMA,Amarillo,Rick Husband Amarillo International Airport
AMB/FMNE,Ambilobe,Ambilobe Airport
AMC/FTTN,Am Timan,Am Timan Airport
AMD/VAAH,Ahmedabad,Ahmedabad Sardar Vallabh Patel International Airport
AME,Alto Molocue,Alto Molocue Airport
AMF/AYAA,Ama,Ama Airport
AMH/HAAM,Arba Minch,Arba Minch Airport
AMJ/SNAR,Almenara,Almenara Cirilo Queiróz Airport
AMK,Durango,Durango Animas Air Park
AML,Puerto Armuelles,Puerto Armuelles Airport
AMM/OJAI,Amman,Amman Queen Alia International Airport
AMN/KAMN,Alma,Alma Gratiot Community Airport
AMO/FTTU,Mao,Mao Airport
AMP/FMSY,Ampanihy,Ampanihy Airport
AMQ/WAPP,Ambon,Ambon Pattimura International Airport
AMS/EHAM,Amsterdam,Amsterdam Airport Schiphol
AMT/YAMT,Amata,Amata Airport
AMU/AYAM,Amanab,Amanab Airport
AMV/ULDD,Amderma,Amderma Airport
AMW/KAMW,Ames,Ames Municipal Airport
AMX/YAMM,Ammaroo,Ammaroo Airport
AMY/FMMB,Ambatomainty,Ambatomainty Airport
AMZ/NZAR,Manurewa,Manurewa Ardmore Airport
ANA,Lolgorien,Lolgorien Angama Mara Airport
ANB/KANB,Anniston,Anniston Regional Airport
ANC/PANC,Anchorage,Ted Stevens Anchorage International Airport
AND/KAND,Anderson,Anderson Regional Airport
ANE/LFJR,Angers,Angers Marcé airport
ANF/SCFA,Antofagasta,Antofagasta Andrés Sabella Gálvez International Airport
ANG/LFBU,Angoulême,Angoulême Brie-Champniers airport
ANI/PANI,Aniak,Aniak Airport
ANJ/FCBZ,Zanaga,Zanaga Airport
ANK/LTAD,Ankara,Ankara Etimesgut Air Base
ANL,Andulo,Andulo Airport
ANM/FMNH,Antsirabe,Antsirabe Airport
ANN/PANT,Metlakatla,Metlakatla Annette Island Airport
ANO/FQAG,Angoche,Angoche Airport
ANP/KANP,Annapolis,Annapolis Lee Airport
ANQ/KANQ,Angola,Angola Tri State Steuben County Airport
ANR/EBAW,Antwerp,Antwerp International Airport (Deurne)
ANS/SPHY,Andahuaylas,Andahuaylas Airport
ANU/TAPA,Osbourn,Osbourn V. C. Bird International Airport
ANV/PANV,Anvik,Anvik Airport
ANW/KANW,Ainsworth,Ainsworth Regional Airport
ANX/ENAN,Andenes,"Andøya Airport, Andenes"
ANY/KANY,Anthony,Anthony Municipal Airport
ANZ,Angus Downs Station,Angus Downs Airport
AOB,Annanberg,Annanberg Airport
AOC/EDAC,Nobitz,Nobitz Leipzig–Altenburg Airport
AOD,Abou-Deïa,Abou-Deïa Airport
AOE/LTBY,Eskişehir,Eskişehir Hasan Polatkan Airport
AOG/ZYAS,Anshan,Anshan Teng'ao Airport / Anshan Air Base
AOH/KAOH,Lima,Lima Allen County Airport
AOI/LIPY,Falconara Marittima,Falconara Marittima (AN) Marche Airport
AOJ/RJSA,Aomori,Aomori Airport
AOK/LGKP,Karpathos Island,Karpathos Airport
AOL/SARL,Paso de los Libres,Paso De Los Libres Airport
AOM,Adam,Adam Airport
AOO/KAOO,Altoona,Altoona Blair County Airport
AOP/SPAS,Andoas,Andoas Alferez FAP Alfredo Vladimir Sara Bauer Airport
AOR/WMKA,Alor Satar,Alor Satar Sultan Abdul Halim Airport
AOT/LIMW,Saint-Christophe,Saint-Christophe (AO) Aosta Corrado Gex Airport
AOU/VLAP,Attopeu,Attopeu Airport
APA/KAPA,Denver,Denver Centennial Airport
APB/SLAP,Apolo,Apolo Airport
APC/KAPC,Napa,Napa County Airport
APD/WAWN,Bone,Bone Arung Palakka Airport
APF/KAPF,Naples,Naples Municipal Airport
APG/KAPG,Aberdeen,Aberdeen Phillips Army Air Field
APH/KAPH,Bowling Green,Bowling Green Mary Walker LZ Airport
API/SKAP,Apiay,Gomez Nino Apiay Air Base
APJ/ZUPL,Burang Town,Burang Town Ali Pulan Airport
APK/NTGD,Apataki,Apataki Airport
APL/FQNP,Nampula,Nampula Airport
APN/KAPN,Alpena,Alpena County Regional Airport
APO/SKLC,Carepa,Carepa Antonio Roldán Betancur Airport
APP,Asapa,Asapa Airport
APQ/SNAL,Arapiraca,Arapiraca Airport
APR/AYPE,April River,April River Airport
APS/SWNS,Anápolis,Anápolis Airport
APT/KAPT,Jasper,Jasper Marion County Airport - Brown Field
APU/SSAP,Apucarana,Apucarana Captain João Busse Airport
APV/KAPV,Apple Valley,Apple Valley Airport
APW/NSFA,Apia,Apia Faleolo International Airport
APX/SSOG,Arapongas,Arapongas Airport
APY,Alto Parnaíba,Alto Parnaíba Airport
APZ/SAHZ,Zapala,Zapala Airport
AQA/SBAQ,Araraquara,Araraquara Airport
AQB/MGQC,Santa Cruz del,Quiché Airport
AQBC,Zucchelli Station,Zucchelli Station Boulder Clay Runway
AQG/ZSAQ,Anqing,Anqing Tianzhushan Airport / Anqing North Air Base
AQI/OEPA,Qaisumah,Qaisumah–Hafar Al-Batin International Airport
AQJ/OJAQ,Aqaba,Aqaba King Hussein International Airport
AQM/SJOG,Ariquemes,Ariquemes Airport
AQP/SPQU,Arequipa,Arequipa Rodríguez Ballón International Airport
AQY,Girdwood,Girdwood-Alyeska Airport
ARA/KARA,New Iberia,New Iberia Acadiana Regional Airport
ARB/KARB,Ann Arbor,Ann Arbor Municipal Airport
