# Catalogo delle compagnie: da designatore ICAO a nome dell'operatore.
#
#   codice[/codice],forma breve,nome completo
#
# Questo file NON e' tuo: viene rifatto a ogni aggiornamento
# e le modifiche andrebbero perse. Le tue correzioni vanno in
# compagnie.csv, che vince sempre su questo.
#
# Fonte: vradarserver/standing-data (CC0, pubblico dominio).
# 5904 voci.
AAB,Luxaviation Belgium,Luxaviation Belgium
AAC,Army Air Corps,Army Air Corps
AAD,Mann Air,Mann Air Ltd
AAE,Air Atlanta Europe,Air Atlanta Europe
AAG,Armenian Airlines,Armenian Airlines
AAH,Aloha Air Cargo,Aloha Air Cargo
AAI,Air Aurora,Air Aurora
AAJ,Alfa Airlines,Alfa Airlines
AAK,Alaska Island Air,Alaska Island Air
AAL,American Airlines,American Airlines
AAM,Aviation Management,Aviation Management Corporation
AAN,Atmospherica,Atmospherica Aviation
AAO,Alpha Aviation,Alpha Aviation
AAP,Arabasco Air,Arabasco Air Services
AAQ,Copterline,Copterline
AAR,Asiana Airlines,Asiana Airlines
AAS,Askari Aviation,Askari Aviation
AAT,Africa Airlines,Africa Airlines
AAV,Pan Pacific Airline,Pan Pacific Airlines
AAW,Afriqiyah Airways,Afriqiyah Airways
AAX,Advance Aviation,Advance Aviation
AAY,Allegiant Air,Allegiant Air
AAZ,Asian Air,Asian Air
ABA,Aero-Beta,Aero-Beta
ABB,Air Belgium,Air Belgium
ABC,OAG,OAG
ABD,Air Atlanta Iceland,Air Atlanta Icelandic
ABE,Aban Air,Aban Air
ABF,Scanwings OY,Scanwings OY
ABG,Royal Flight,Royal Flight Airlines
ABH,Hokuriki-Koukuu,Hokuriki-Koukuu Company
ABI,Antigua and Barbuda,Antigua and Barbuda Airways
ABJ,Abaeté Linhas,Abaeté Linhas Aéreas
ABK,Alberta Citylink,Alberta Citylink
ABL,Air Busan,Air Busan
ABM,Aero Albatros,Aero Albatros
ABN,Air Albania,Air Albania
ABO,APSA Colombia,APSA Colombia
ABP,ABS Jets,ABS Jets
ABQ,Airblue,Airblue
ABR,ASL Airlines,ASL Airlines Ireland
ABS,Afrijet Business,Afrijet Business Service
ABT,Ambeo,Ambeo
ABU,Eagle Aviation,Eagle Aviation Services
ABV,ASL Airlines UK,ASL Airlines UK
ABW,AirBridgeCargo,AirBridgeCargo
ABX,ABX Air,ABX Air
ABY,Air Arabia,Air Arabia
ABZ,Air Ambulcance,Air Ambulcance Services
ACA,Air Canada,Air Canada
ACB,African Cargo,African Cargo Services
ACC,Avcard Services,Avcard Services
ACD,Academy Airlines,Academy Airlines
ACE,Air Charter Express,Air Charter Express
ACF,Centro de Formación,Centro de Formación Aeronáutica de Canarias
ACG,Air Partner,Air Partner
ACH,Air Cargo Plus,Air Cargo Plus
ACI,Air Caledonie,Air Caledonie International
ACJ,AC Aviation,AC Aviation
ACK,Nantucket Airlines,Nantucket Airlines
ACL,AerCaribe,AerCaribe
ACM,Air Caledonia,Air Caledonia
ACN,Azul Conecta,Azul Conecta
ACO,Aero Comondu,Aero Comondu
ACP,Astral Aviation,Astral Aviation
ACQ,Aryan Cargo Express,Aryan Cargo Express
ACR,"Aerocenter, Escuela","Aerocenter, Escuela de Formación de Pilotos Privados de Avión"
ACS,Aircraft Sales and,Aircraft Sales and Services
ACT,Flight Line,Flight Line
ACU,Air Cargo Transport,Air Cargo Transportation System
ACV,Air Charter Service,Air Charter Service
ACW,Royal Air Force,Royal Air Force
ACX,Air Cargo Germany,Air Cargo Germany
ACY,Fly Arna,Fly Arna
ADA,Airservices Austral,Airservices Australia
ADB,Antonov Airlines,Antonov Airlines
ADC,AD Astra Executive,AD Astra Executive Charter
ADD,Advanced Air,Advanced Air Co.
ADE,Ada Air,Ada Air
ADF,"Ade, Aviación","Ade, Aviación Deportiva"
ADG,Aerea Flying,Aerea Flying Training Organization
ADI,Audeli Air,Audeli Air
ADJ,Aladdin Jet,Aladdin Jet
ADL,Aero Dynamics,Aero Dynamics
ADN,Aero-Dienst,Aero-Dienst
ADO,AIRDO,AIRDO
ADP,Aerodiplomatic,Aerodiplomatic
ADQ,Avion Taxi,Avion Taxi
ADR,Adria Airways,Adria Airways
ADS,Aviones de Sonora,Aviones de Sonora
ADT,Arrendaminetos y,Arrendaminetos y Transportes Turisticos
ADU,Airdeal Oy,Airdeal Oy
ADV,Advanced Flight,Advanced Flight Training
ADX,Anderson Aviation,Anderson Aviation
ADY,Air Arabia Abu,Air Arabia Abu Dhabi
ADZ,Compass Cargo,Compass Cargo Airlines
AEA,Air Europa,Air Europa
AEB,Aero Benin,Aero Benin
AEE,Aegean Airlines,Aegean Airlines
AEF,Aerea,Aerea
AEG,Airest,Airest
AEH,Amelia Internationa,Amelia International
AEI,Air Italy Polska,Air Italy Polska
AEJ,Air Express,Air Express
AEK,Aerocon,Aerocon
AEL,Aegle Aviation,Aegle Aviation
AEM,Aero Madrid,Aero Madrid
AEO,Aero Guernsey,Aero Guernsey
AEP,Aerotec Escuela de,Aerotec Escuela de Pilotos
AEQ,Air Express,Air Express
AER,Alaska Central,Alaska Central Express
AES,Aerosur Paraguay,Aerosur Paraguay
AEU,Astraeus,Astraeus
AEV,Aeroventas,Aeroventas
AEW,Aegean Executive,Aegean Executive
AEX,Airway Express,Airway Express
AEY,Air Italy,Air Italy
AEZ,AeroItalia,AeroItalia
AFA,Alfa Air,Alfa Air
AFC,African West Air,African West Air
AFD,Panorama Flight,Panorama Flight Service
AFE,Airfast Indonesia,Airfast Indonesia
AFF,Africa Airways,Africa Airways
AFG,Ariana Afghan,Ariana Afghan Airlines
AFI,Africaone,Africaone
AFK,Africa Air Links,Africa Air Links
AFL,Aeroflot,Aeroflot
AFM,Air Four,Air Four
AFN,Air Freight NZ,Air Freight NZ
AFO,Aero Empresa,Aero Empresa Mexicana
AFP,Portuguese Air,Portuguese Air Force
AFQ,Alba Servizi,Alba Servizi Aerotrasporti
AFR,Air France,Air France
AFS,Air Data,Air Data
AFU,Afrinat Internation,Afrinat International Airlines
AFV,Air Afrique Vacanci,Air Afrique Vacancies
AFW,Africa World,Africa World Airlines
AFY,Africa Chartered,Africa Chartered Services
AFZ,Africa Freight,Africa Freight Services
AGA,AG Air,AG Air
AGB,Air Service Gabon,Air Service Gabon
AGC,Arab Agricultural,Arab Agricultural Aviation Company
AGE,Servicios Aéreos,Servicios Aéreos de Los Ángeles
AGF,Atlantic Gulf,Atlantic Gulf Airlines
AGG,Algoma Airways,Algoma Airways
AGH,Altagna,Altagna
AGI,Aereo Transportes,Aereo Transportes Los Angeles de America
AGM,Air Guam,Air Guam
AGO,Angola Air Charter,Angola Air Charter
AGP,AERFI Group,AERFI Group
AGR,Air Charters Europe,Air Charters Europe
AGT,Amadeus Global,Amadeus Global Travel Distribution
AGU,Angara Airlines,Angara Airlines
AGV,Air Glaciers,Air Glaciers
AGX,Aviogenex,Aviogenex
AGY,Air Go Egypt,Air Go Egypt
AGZ,Agrolet-Mci,Agrolet-Mci
AHA,Air Alpha Greenland,Air Alpha Greenland
AHC,Azal Avia Cargo,Azal Avia Cargo
AHD,Czech Air Handling,Czech Air Handling
AHE,Airport Helicopter,"Airport Helicopter Basel, Muller &amp; Co."
AHF,Aspen Helicopters,Aspen Helicopters
AHH,Airplanes Holdings,Airplanes Holdings
AHI,Servicios Aéreos,Servicios Aéreos de Chihuahua Aerochisa
AHK,Air Hong Kong,Air Hong Kong
AHL,Aerolíneas Hidalgo,Aerolíneas Hidalgo
AHM,Garrison Aviation,Garrison Aviation
AHN,Air Hungaria,Air Hungaria
AHP,Aerochiapas,Aerochiapas
AHR,Air Adriatic,Air Adriatic
AHS,AHS Air Internation,AHS Air International
