# Le giornate mondiali, internazionali e nazionali a data fissa.
# Formato: MM-GG;titolo. Un giorno puo' averne piu' di una: il pannello
# mostra la piu' corta, che di solito e' anche la piu' nota.
#
# Fonti: calendario delle Giornate internazionali delle Nazioni Unite
# (unric.org) e le ricorrenze civili italiane. Le giornate a data mobile
# ("la terza domenica di...") non ci sono: qui si guarda il calendario.
#
# Chi vuole aggiungerne di sue mette un giornate.csv nella cartella dati:
# viene letto dopo questo, con lo stesso formato.
#
# giorno;titolo
01-04;Giornata mondiale del Braille
01-07;Giornata nazionale della bandiera
01-24;Giornata internazionale dell'educazione
01-26;Giornata internazionale dell'energia pulita
01-27;Giorno della Memoria
01-28;Giornata internazionale della convivenza pacifica
02-02;Giornata mondiale delle zone umide
02-04;Giornata mondiale contro il cancro
02-04;Giornata mondiale della fratellanza umana
02-06;Giornata contro le mutilazioni genitali femminili
02-09;Giornata nazionale degli stati vegetativi
02-10;Giorno del Ricordo
02-10;Giornata internazionale dei legumi
02-11;Giornata delle donne e delle ragazze nella scienza
02-12;Darwin Day
02-13;Giornata mondiale della radio
02-20;Giornata mondiale della giustizia sociale
02-21;Giornata internazionale della lingua materna
03-01;Giornata contro la discriminazione
03-03;Giornata mondiale della natura
03-05;Giornata per il disarmo e la non proliferazione
03-08;Giornata internazionale della donna
03-10;Giornata internazionale delle donne giudici
03-11;Giornata in ricordo delle vittime del terrorismo
03-17;Giornata dell'Unità nazionale
03-20;Giornata internazionale della felicità
03-20;Giornata della lingua francese
03-21;Giornata mondiale dei ghiacciai
03-21;Giornata contro la discriminazione razziale
03-21;Giornata internazionale delle foreste
03-21;Giornata mondiale della poesia
03-21;Giornata mondiale della sindrome di Down
03-22;Giornata mondiale dell'acqua
03-23;Giornata mondiale della meteorologia
03-24;Giornata mondiale contro la tubercolosi
03-24;Giornata nazionale della lettura
03-25;Giornata in memoria delle vittime della schiavitù
03-27;Giornata nazionale del teatro
04-02;Giornata mondiale per l'autismo
04-04;Giornata contro le mine antiuomo
04-05;Giornata internazionale della coscienza
04-06;Giornata dello sport per lo sviluppo e la pace
04-07;Giornata mondiale della salute
04-12;Giornata dei viaggi dell'uomo nello spazio
04-14;Giornata mondiale della malattia di Chagas
04-20;Giornata della lingua cinese
04-21;Giornata mondiale della creativita'
04-22;Giornata mondiale della Terra
04-23;Giornata mondiale del libro
04-23;Giornata della lingua inglese
04-23;Giornata della lingua spagnola
04-24;Giornata del multilateralismo e della diplomazia
04-25;Anniversario della Liberazione
04-25;Giornata mondiale contro la malaria
04-26;Giornata mondiale della proprietà intellettuale
04-26;Giornata in ricordo del disastro di Chernobyl
04-28;Giornata per la sicurezza sul lavoro
04-30;Giornata internazionale del jazz
05-01;Festa del lavoro
05-02;Giornata mondiale del tonno
05-03;Giornata mondiale della libertà di stampa
05-05;Giornata nazionale contro la pedofilia
05-08;Giornata mondiale degli uccelli migratori
05-09;Giornata dell'Europa
05-10;Giornata mondiale dell'argan
05-15;Giornata internazionale della famiglia
05-16;Giornata mondiale del vivere insieme in pace
05-16;Giornata internazionale della luce
05-17;Giornata mondiale delle telecomunicazioni
05-19;Giornata mondiale del fair play
05-20;Giornata mondiale delle api
05-21;Giornata per la diversità culturale
05-21;Giornata internazionale del tè
05-22;Giornata internazionale della biodiversità
05-29;Giornata dei caschi blu delle Nazioni Unite
05-30;Giornata internazionale della patata
05-31;Giornata mondiale senza tabacco
06-01;Giornata mondiale dei genitori
06-02;Festa della Repubblica
06-03;Giornata mondiale della bicicletta
06-04;Giornata dei bambini vittime di aggressioni
06-05;Giornata mondiale dell'ambiente
06-05;Giornata contro la pesca illegale
06-06;Giornata della lingua russa
06-07;Giornata mondiale della sicurezza alimentare
06-08;Giornata mondiale degli oceani
06-12;Giornata contro il lavoro minorile
06-13;Giornata mondiale dell'albinismo
06-14;Giornata mondiale dei donatori di sangue
06-15;Giornata contro l'abuso sugli anziani
06-16;Giornata per le rimesse familiari
06-17;Giornata contro la desertificazione
06-18;Giornata della gastronomia sostenibile
06-18;Giornata contro i discorsi d'odio
06-19;Giornata contro la violenza sessuale nei conflitti
06-20;Giornata mondiale del rifugiato
06-21;Giornata internazionale dello yoga
06-21;Giornata del solstizio
06-23;Giornata delle Nazioni Unite per il servizio pubblico
06-23;Giornata internazionale delle vedove
06-24;Giornata delle donne in diplomazia
06-25;Giornata della gente di mare
06-26;Giornata contro l'abuso di droghe
06-26;Giornata a sostegno delle vittime di tortura
06-27;Giornata delle piccole e medie imprese
06-29;Giornata internazionale dei tropici
06-30;Giornata internazionale degli asteroidi
06-30;Giornata internazionale del parlamentarismo
07-06;Giornata internazionale delle cooperative
07-06;Giornata dello sviluppo rurale
07-07;Giornata mondiale della lingua kiswahili
07-11;Giornata mondiale della popolazione
07-12;Giornata internazionale della speranza
07-15;Giornata delle capacità dei giovani
07-18;Giornata mondiale per Nelson Mandela
07-20;Giornata mondiale degli scacchi
07-25;Giornata per il benessere giudiziario
07-28;Giornata mondiale contro l'epatite
07-30;Giornata contro la tratta di esseri umani
07-30;Giornata internazionale dell'amicizia
08-08;Giornata del lavoro italiano nel mondo
08-09;Giornata dei popoli indigeni
08-12;Giornata internazionale della gioventù
08-19;Giornata mondiale dell'aiuto umanitario
08-21;Giornata in ricordo delle vittime del terrorismo
08-22;Giornata per le vittime di violenza religiosa
08-23;Giornata in ricordo della tratta degli schiavi
08-27;Giornata mondiale dei laghi
08-29;Giornata contro i test nucleari
08-30;Giornata delle vittime di sparizioni forzate
08-31;Giornata per le persone di discendenza africana
09-05;Giornata internazionale della carità
09-07;Giornata dell'aria pulita
09-08;Giornata internazionale dell'alfabetizzazione
09-09;Giornata per la tutela dell'educazione
09-10;Giornata per la prevenzione del suicidio
09-12;Giornata per la cooperazione Sud-Sud
09-15;Giornata internazionale della democrazia
09-16;Giornata per la protezione dello strato d'ozono
09-17;Giornata per la sicurezza del paziente
09-18;Giornata per la parita' di retribuzione
09-20;Giornata mondiale della pulizia
09-21;Giornata internazionale della pace
09-23;Giornata delle lingue dei segni
09-26;Giornata per l'eliminazione delle armi nucleari
09-26;Giornata marittima mondiale
09-27;Giornata mondiale del turismo
09-28;Giornata per l'accesso all'informazione
09-28;Giornata mondiale contro la rabbia
09-29;Giornata contro lo spreco alimentare
09-30;Giornata internazionale della traduzione
10-01;Giornata internazionale delle persone anziane
10-02;Festa dei nonni
10-02;Giornata internazionale della non violenza
10-03;Giornata mondiale dell'habitat
10-04;Festa dei patroni d'Italia
10-05;Giornata mondiale degli insegnanti
10-07;Giornata mondiale del cotone
10-09;Giornata mondiale della posta
10-10;Giornata mondiale della salute mentale
10-11;Giornata internazionale delle bambine
10-12;Giornata di Cristoforo Colombo
10-13;Giornata per la riduzione dei disastri
10-15;Giornata internazionale delle donne rurali
10-16;Giornata mondiale dell'alimentazione
10-17;Giornata per l'eliminazione della povertà
10-20;Giornata mondiale della statistica
10-23;Giornata del leopardo delle nevi
10-24;Giornata delle Nazioni Unite
10-27;Giornata del patrimonio audiovisivo
10-31;Giornata mondiale delle città
11-02;Giornata per i crimini contro i giornalisti
11-04;Giorno dell'Unità nazionale
11-05;Giornata per la sensibilizzazione sugli tsunami
11-06;Giornata contro lo sfruttamento dell'ambiente in guerra
11-09;Giornata della libertà
11-10;Giornata della scienza per la pace
11-12;Giornata dei caduti nelle missioni di pace
11-13;Giornata mondiale della gentilezza
11-14;Giornata mondiale del diabete
11-16;Giornata internazionale della tolleranza
11-18;Giornata mondiale della filosofia
11-19;Giornata mondiale dei servizi igienici
11-20;Giornata mondiale dell'infanzia
11-20;Giornata per l'industrializzazione dell'Africa
11-21;Giornata mondiale della televisione
11-24;Evolution Day
11-25;Giornata contro la violenza sulle donne
11-26;Giornata mondiale dell'olivo
11-29;Giornata di solidarietà con il popolo palestinese
11-30;Giornata in memoria delle vittime della guerra chimica
12-01;Giornata mondiale contro l'AIDS
12-02;Giornata per l'abolizione della schiavitù
12-03;Giornata delle persone con disabilità
12-04;Giornata internazionale delle banche
12-05;Giornata mondiale del suolo
12-05;Giornata internazionale dei volontari
12-07;Giornata dell'aviazione civile
12-09;Giornata internazionale contro la corruzione
12-09;Giornata per le vittime di genocidio
12-10;Giornata dei diritti umani
12-11;Giornata internazionale della montagna
12-12;Giornata internazionale della neutralità
12-12;Giornata della copertura sanitaria universale
12-18;Giornata internazionale dei migranti
12-18;Giornata della lingua araba
12-20;Giornata della solidarietà umana
12-21;Giornata internazionale della pallacanestro
12-27;Giornata per la preparazione alle epidemie

# Aggiunte nella 12.3: le giornate che riempiono i giorni lasciati
# scoperti dal calendario delle Nazioni Unite -- erano 186 su 366, cioe'
# un giorno su due con la riga in fondo vuota. Quelle segnate `pop` in
# terza colonna sono goliardiche o minori: valgono solo quando quel
# giorno non c'e' niente di ufficiale.
#
# giorno;titolo;pop
01-01;Capodanno
01-02;Giornata della fantascienza;pop
01-03;Brindisi per Tolkien;pop
01-05;Giornata degli uccelli;pop
01-06;Giornata per gli orfani di guerra
01-08;Giornata della dattilografia;pop
01-09;Giornata dei voli in mongolfiera;pop
01-10;Giornata per salvare le aquile;pop
01-11;Giornata mondiale del grazie;pop
01-12;Giornata del marzapane;pop
01-13;Giornata della paperella di gomma;pop
01-14;Giornata mondiale della logica
01-15;Giornata di Wikipedia;pop
01-16;Giornata del nulla;pop
01-17;Giornata mondiale della pizza;pop
01-18;Giornata di Winnie the Pooh;pop
01-19;Giornata mondiale dei popcorn;pop
01-20;Giornata del formaggio;pop
01-21;Giornata mondiale degli abbracci;pop
01-22;Giornata franco-tedesca
01-23;Giornata della scrittura a mano;pop
01-25;Burns Night, la notte di Burns;pop
01-29;Giornata mondiale dei puzzle;pop
01-30;Giornata scolastica della nonviolenza
01-31;Giornata internazionale della zebra;pop
02-01;Giornata mondiale del velo islamico;pop
02-03;Il giorno in cui mori' la musica;pop
02-05;Giornata mondiale della Nutella;pop
02-07;Giornata contro il bullismo
02-08;Giornata contro la tratta di persone
02-14;San Valentino
02-15;Giornata contro il cancro infantile
02-16;Giornata mondiale della mandorla;pop
02-17;Giornata internazionale del gatto;pop
02-18;Giornata della sindrome di Asperger;pop
02-19;Giornata mondiale delle balene;pop
02-22;Giornata europea vittime di reato
02-23;Giornata del pane alle banane;pop
02-24;Giornata mondiale del barman;pop
02-25;Giornata del mangiar sano;pop
02-26;Giornata mondiale del pistacchio;pop
02-27;Giornata mondiale dell'orso polare;pop
02-28;Giornata delle malattie rare
02-29;Giorno bisestile;pop
03-02;Giornata del benessere mentale teen;pop
03-04;Giornata mondiale dell'obesita'
03-06;Giornata europea dei Giusti
03-07;Giornata mondiale dei cereali;pop
03-09;Giornata mondiale di Barbie;pop
03-12;Giornata contro la censura online
03-13;Giornata del buon samaritano;pop
03-14;Giornata della matematica
03-15;Giornata dei diritti dei consumatori
03-16;Giornata mondiale del panda;pop
03-18;Giornata delle vittime del Covid
03-19;Festa del papa'
03-26;Purple Day per l'epilessia;pop
03-28;Giornata del rispetto per i gatti;pop
03-29;Giornata delle piccole botteghe;pop
03-30;Giornata mondiale rifiuti zero
03-31;Giornata mondiale del backup;pop
04-01;Pesce d'aprile;pop
04-03;Giornata mondiale della festa;pop
04-08;Giornata internazionale dei Rom
04-09;Giornata mondiale dell'unicorno;pop
04-10;Giornata mondiale dei fratelli;pop
04-11;Giornata mondiale del Parkinson
04-13;Giornata internazionale del bacio;pop
04-15;Giornata mondiale dell'arte
04-16;Giornata mondiale della voce
04-17;Giornata mondiale dell'emofilia
04-18;Giornata dei monumenti e dei siti
04-19;Giornata mondiale del fegato
04-27;Giornata mondiale del design
04-29;Giornata internazionale della danza
05-04;Star Wars Day;pop
05-06;Giornata mondiale senza dieta;pop
05-07;Giornata mondiale dell'atletica;pop
05-11;Giornata del tramezzino;pop
05-12;Giornata mondiale dell'infermiere
05-13;Giornata mondiale del cocktail;pop
05-14;Giornata di Dylan Thomas;pop
05-18;Giornata internazionale dei musei
05-23;Giornata della legalita'
05-24;Giornata europea dei parchi
05-25;Giornata dei bambini scomparsi
05-26;Giornata mondiale di Dracula;pop
05-27;Giornata della protezione solare;pop
05-28;Giornata dell'igiene mestruale
06-09;Giornata degli archivi
06-10;Giornata mondiale dell'Art Nouveau;pop
06-11;Giornata internazionale del gioco
06-22;Giornata della foresta pluviale;pop
06-28;Giornata dell'orgoglio LGBTQ;pop
07-01;Giornata mondiale della barzelletta;pop
07-02;Palio di Siena
07-03;Giornata senza sacchetti di plastica;pop
07-04;Indipendenza degli Stati Uniti;pop
07-05;Giornata mondiale del bikini;pop
07-08;Giornata del Mar Mediterraneo
07-10;Giornata di Nikola Tesla;pop
07-13;Giornata mondiale del rock;pop
07-14;Presa della Bastiglia;pop
07-16;Giornata mondiale del serpente;pop
07-17;Giornata mondiale delle emoji;pop
07-19;Giornata mondiale del karaoke;pop
07-21;Festa nazionale del Belgio;pop
07-22;Giornata del Pi greco approssimato;pop
07-23;Giornata delle balene e dei delfini;pop
07-24;Giornata mondiale dell'autocura;pop
07-26;Giornata mondiale delle mangrovie
07-27;Giornata del dormiglione;pop
07-29;Giornata mondiale della tigre
07-31;Giornata mondiale dei ranger;pop
08-01;Giornata mondiale del web;pop
08-02;Ricordo del genocidio di Rom e Sinti
08-03;Giornata mondiale dell'anguria;pop
08-04;Giornata del leopardo nebuloso;pop
08-05;Giornata mondiale del semaforo;pop
08-06;Anniversario di Hiroshima
08-10;Giornata mondiale del leone;pop
08-11;Giornata mondiale dell'hip hop;pop
08-13;Giornata mondiale dei mancini;pop
08-14;Giornata mondiale della lucertola;pop
08-15;Ferragosto
08-16;Giornata delle montagne russe;pop
08-17;Giornata del gatto nero;pop
08-18;Giornata del non mollare mai;pop
08-20;Giornata mondiale della zanzara;pop
08-24;Giornata del Vesuvio;pop
08-25;Giornata della banana split;pop
08-26;Giornata mondiale del cane;pop
08-28;Giornata del vino rosso;pop
09-01;Giornata per la custodia del creato
09-02;Giornata mondiale del cocco;pop
09-03;Giornata dei grattacieli;pop
09-04;Giornata della salute sessuale;pop
09-06;Giornata contro la procrastinazione;pop
09-11;Giornata delle nuvole;pop
09-13;Giornata mondiale del cioccolato;pop
09-14;Giornata dell'eczema atopico;pop
09-19;Giornata del parlare come un pirata;pop
09-22;Giornata mondiale del rinoceronte;pop
09-24;Giornata mondiale del gorilla;pop
09-25;Giornata mondiale del farmacista;pop
10-06;Giornata della paralisi cerebrale;pop
10-08;Giornata mondiale del polpo;pop
10-14;Giornata mondiale degli standard
10-18;Giornata mondiale della menopausa
10-19;Giornata contro il tumore al seno;pop
10-21;Giornata della mela;pop
10-22;Giornata mondiale dell'energia;pop
10-25;Giornata mondiale della pasta;pop
10-26;Giornata dell'intersessualita';pop
10-28;Giornata mondiale dell'animazione
10-29;Giornata mondiale contro l'ictus;pop
10-30;Giornata del radiodramma;pop
11-01;Giornata mondiale vegan;pop
11-03;Giornata delle riserve della biosfera
11-07;Giornata della fisica medica;pop
11-08;Giornata mondiale dell'urbanistica;pop
11-11;Giorno dell'Armistizio del 1918
11-15;Giornata degli scrittori in carcere;pop
11-17;Giornata internazionale degli studenti;pop
11-23;Giornata di Fibonacci;pop
11-27;Giornata dell'illustrazione;pop
11-28;Giornata del pianeta rosso;pop
12-08;Bodhi Day, il risveglio di Buddha;pop
12-13;Giornata nazionale del cieco
12-14;Giornata della scimmia;pop
12-15;Giornata dell'esperanto;pop
12-16;Inizio della novena di Natale
12-17;Giornata dei fratelli Wright;pop
12-19;Giornata dell'emo;pop
12-22;Approvazione della Costituzione
12-23;Festivus;pop
12-24;Vigilia di Natale
12-26;Boxing Day;pop
12-28;Nascita del cinema, 1895;pop
12-29;Giornata del violoncello;pop
12-30;Giornata dei buoni propositi;pop
