# Santo del giorno e nomi che festeggiano l'onomastico, per tutti i 366
# giorni. Formato: MM-GG;santo;nomi separati da virgola.
#
# Compilato dalle pagine giorno per giorno di Cathopedia (it.cathopedia.org,
# CC BY-SA) per il santo, e dagli elenchi degli onomastici per i nomi. E' un
# calendario, non cambia: sta qui dentro perche' il servizio funzioni anche
# senza rete.
#
# giorno;santo;nomi
01-01;Maria Santissima Madre di Dio;Maria,Telemaco,Concordio,Fulgenzio
01-02;San Basilio Magno e San Gregorio di Nazianzo;Basilio,Gregorio,Adelardo,Odilone,Macario
01-03;Santissimo Nome di Gesù;Genoveffa
01-04;Sant'Angela da Foligno;Angela,Benedetta,Elsa
01-05;San Giovanni Nepomuceno Neumann;Giovanni,Astolfo,Emiliana,Amelio
01-06;Epifania del Signore;Gaspare,Melchiorre,Baldassarre,Raffaella
01-07;San Raimondo di Peñafort;Raimondo,Crispino,Luciano,Mariateresa
01-08;San Lorenzo Giustiniani;Lorenzo,Erardo
01-09;San Marcellino di Ancona;Marcellino,Alessia,Giuliano
01-10;Papa Milziade;Milziade,Aldo,Domitilla,Domiziano
01-11;Papa Igino;Igino,Onorata,Ortensio
01-12;Sant'Antonio Maria Pucci;Antonio,Arcadio,Modesto,Tatiana,Cesarina,Cesira
01-13;Sant'Ilario di Poitiers;Ilario,Liana,Eliano,Veronica
01-14;San Felice di Nola;Felice,Bianca,Dacia,Felicita,Dacio
01-15;San Mauro;Mauro,Abaco,Efisio,Ida
01-16;Papa Marcello I;Marcello,Accursio,Liberata,Berardo
01-17;Sant'Antonio abate;Antonio,Alba,Antero,Diodoro,Nadia,Iole
01-18;San Volusiano di Tours;Volusiano,Beatrice,Fazio,Prisca,Priscilla,Bice
01-19;San Macario Magno;Macario,Mario,Pia,Mariapia
01-20;San Fabiano e San Sebastiano;Fabiano,Sebastiano
01-21;Sant'Agnese di Roma;Agnese,Giuseppa,Ines,Patroclo
01-22;San Vincenzo di Saragozza;Vincenzo,Domenico,Linda,Teodolinda,Gaudenzio
01-23;Sant'Ildefonso da Toledo;Ildefonso,Durante,Messalina,Armando
01-24;San Francesco di Sales;Francesco,Babila,Feliciano,Metello,Vera,Artemio
01-25;Conversione di San Paolo Apostolo;Paolo,Agape,Artemia
01-26;Santa Paola Romana;Paola,Alberico,Timoteo,Tito,Alberica,Annapaola
01-27;Sant'Angela Merici;Angela,Devota,Elvira,Palladio,Mariangela
01-28;San Tommaso d'Aquino;Tommaso,Amedeo,Manfredo
01-29;San Costanzo di Perugia;Costanzo,Gildo,Sabrina,Gilda
01-30;Santa Giacinta Marescotti;Giacinta,Batilda,Martina
01-31;San Giovanni Bosco;Giovanni,Ciro,Ludovica,Saverio,Marcella
02-01;Santa Brigida d'Irlanda;Brigida,Severo,Verdiana,Orso,Brigitta
02-02;Presentazione del Signore;Sabatino
02-03;San Biagio;Biagio,Ofelia,Oscar,Adelino
02-04;Santa Giovanna di Valois;Giovanna,Gilberto
02-05;Sant'Agata;Agata,Alice,Heidi
02-06;San Paolo Miki e compagni;Paolo,Amanda,Dorotea,Fedora,Gastone,Guerrino
02-07;Sant'Egidio Maria di San Giuseppe;Egidio,Giuliana
02-08;San Girolamo Emiliani;Girolamo,Giacoma
02-09;Sant'Apollonia;Apollonia,Rinaldo
02-10;Santa Scolastica;Scolastica,Guglielmo,Indro
02-11;Beata Vergine Maria di Lourdes;Maria,Dante
02-12;San Benedetto d'Aniane;Benedetto,Costante,Eulalia
02-13;San Fulcranno di Lodève;Fulcranno,Fosca,Maura
02-14;San Valentino;Valentino,Cirillo,Fiorentino,Apollonio
02-15;San Claudio de la Colombière;Claudio,Giorgia,Sigfrido
02-16;Santa Giuliana di Nicomedia;Giuliana,Samuele,Onesto
02-17;San Teodoro di Amasea;Teodoro,Flaviano
02-18;Sant'Angilberto di Centula;Angilberto,Artemisia,Cinzia,Claudio
